Date,Open,High,Low,Close,Adj Close,Volume
2018-02-28,1517.500000,1531.974976,1510.724976,1517.525024,1421.230957,2706864
2018-03-01,1524.500000,1530.599976,1510.000000,1518.849976,1422.471680,1718124
2018-03-05,1524.500000,1556.824951,1516.474976,1552.925049,1454.384644,2858168
2018-03-06,1561.000000,1563.500000,1515.074951,1521.400024,1424.859985,1906764
2018-03-07,1535.000000,1544.500000,1509.250000,1513.724976,1417.671753,1917772
2018-03-08,1527.449951,1527.449951,1493.750000,1501.974976,1406.667480,1951826
2018-03-09,1502.500000,1531.599976,1488.599976,1517.050049,1420.785889,1872436
2018-03-12,1521.500000,1541.949951,1517.750000,1526.074951,1429.238403,2091340
2018-03-13,1462.449951,1469.849976,1436.000000,1443.400024,1351.809326,88067154
2018-03-14,1446.474976,1461.525024,1437.525024,1443.449951,1351.856323,3668668
2018-03-15,1447.500000,1451.275024,1427.800049,1434.849976,1343.801758,2348906
2018-03-16,1434.400024,1436.000000,1402.500000,1412.849976,1323.197998,7197482
2018-03-19,1414.500000,1424.000000,1410.000000,1415.500000,1325.679688,3489940
2018-03-20,1410.000000,1436.599976,1409.500000,1432.425049,1341.531006,4024984
2018-03-21,1436.250000,1442.150024,1425.000000,1428.375000,1337.737915,3907678
2018-03-22,1429.974976,1437.974976,1411.275024,1415.675049,1325.843750,2326094
2018-03-23,1401.000000,1417.050049,1399.025024,1409.074951,1319.662231,3654122
2018-03-26,1409.500000,1413.699951,1390.775024,1408.500000,1319.124023,2964210
2018-03-27,1412.500000,1431.500000,1411.525024,1423.849976,1333.500244,2494574
2018-03-28,1417.949951,1437.500000,1412.500000,1424.574951,1334.178711,6865654
2018-04-02,1420.000000,1457.000000,1420.000000,1454.824951,1362.509399,1662988
2018-04-03,1446.050049,1464.949951,1446.050049,1455.625000,1363.258545,1937290
2018-04-04,1464.724976,1467.000000,1446.000000,1455.449951,1363.094727,2841820
2018-04-05,1463.275024,1481.875000,1460.175049,1478.974976,1385.127075,1809424
2018-04-06,1477.000000,1480.000000,1463.275024,1475.150024,1381.544678,1129018
2018-04-09,1469.849976,1481.750000,1457.500000,1461.949951,1369.182007,1235866
2018-04-10,1462.849976,1478.625000,1462.849976,1468.800049,1375.597534,1184532
2018-04-11,1475.300049,1512.500000,1472.800049,1507.074951,1411.443970,3124416
2018-04-12,1505.000000,1575.000000,1503.974976,1569.625000,1470.024780,6114360
2018-04-13,1575.000000,1620.400024,1566.050049,1576.650024,1476.604248,8179118
2018-04-16,1558.000000,1599.974976,1555.375000,1593.824951,1492.689209,6270274
2018-04-17,1593.824951,1597.474976,1573.599976,1583.300049,1482.832275,3301724
2018-04-18,1583.000000,1596.724976,1572.925049,1579.550049,1479.320190,2433066
2018-04-19,1589.949951,1608.599976,1582.875000,1595.574951,1494.328247,4820952
2018-04-20,1625.000000,1711.175049,1620.000000,1701.224976,1593.274048,18465662
2018-04-23,1712.000000,1778.949951,1694.775024,1704.324951,1596.177490,15185910
2018-04-24,1705.000000,1721.574951,1671.250000,1692.824951,1585.407104,8314336
2018-04-25,1692.500000,1741.500000,1682.525024,1735.125000,1625.023193,8196574
2018-04-26,1733.500000,1780.000000,1733.500000,1769.625000,1657.333862,12135034
2018-04-27,1762.500000,1772.000000,1710.000000,1725.974976,1616.453613,4501330
2018-04-30,1725.974976,1774.500000,1718.800049,1766.050049,1653.985840,3458558
2018-05-02,1765.250000,1766.099976,1735.650024,1749.875000,1638.837158,3158046
2018-05-03,1754.900024,1763.000000,1735.199951,1740.925049,1630.455078,3761550
2018-05-04,1746.000000,1748.500000,1735.000000,1740.375000,1629.939697,2347244
2018-05-07,1745.000000,1745.000000,1705.449951,1710.474976,1601.937134,3484426
2018-05-08,1717.349976,1743.250000,1698.349976,1720.599976,1611.419800,2992820
2018-05-09,1720.099976,1747.375000,1720.099976,1744.650024,1633.943726,2615050
2018-05-10,1751.474976,1755.574951,1720.099976,1725.625000,1616.125732,3858678
2018-05-11,1727.099976,1742.500000,1721.250000,1728.474976,1618.795044,2627876
2018-05-14,1728.500000,1735.500000,1705.400024,1716.775024,1607.837524,2433894
2018-05-15,1725.000000,1747.900024,1716.849976,1741.199951,1630.712646,1952890
2018-05-16,1739.974976,1754.500000,1737.625000,1746.949951,1636.097778,1648450
2018-05-17,1756.474976,1766.574951,1738.000000,1745.900024,1635.114136,2968048
2018-05-18,1740.400024,1758.849976,1729.000000,1751.025024,1639.914185,1874996
2018-05-21,1764.349976,1796.000000,1759.025024,1778.375000,1665.528564,3446178
2018-05-22,1779.000000,1787.474976,1746.849976,1754.449951,1643.121582,1857416
2018-05-23,1762.500000,1772.500000,1740.500000,1747.550049,1636.659546,1507298
2018-05-24,1755.000000,1807.500000,1751.175049,1801.849976,1687.514038,2962316
2018-05-25,1812.500000,1837.400024,1786.275024,1792.900024,1679.132080,3769772
2018-05-28,1808.250000,1808.250000,1743.000000,1751.025024,1639.914185,3716798
2018-05-29,1764.949951,1772.000000,1744.000000,1761.750000,1649.958618,3525312
2018-05-30,1754.525024,1766.500000,1741.250000,1757.050049,1645.556885,3779106
2018-05-31,1734.000000,1759.050049,1726.099976,1741.050049,1644.140381,5049371
2018-06-01,1754.000000,1757.500000,1716.300049,1732.449951,1636.018921,1603856
2018-06-04,1745.000000,1749.000000,1712.599976,1744.250000,1647.161987,1681483
2018-06-05,1744.000000,1751.900024,1711.150024,1721.599976,1625.772827,2449568
2018-06-06,1723.000000,1734.900024,1715.199951,1725.750000,1629.692139,2236512
2018-06-07,1725.000000,1749.000000,1723.800049,1735.550049,1638.946411,2414762
2018-06-08,1735.000000,1757.300049,1735.000000,1747.099976,1649.853394,2582138
2018-06-11,1747.099976,1763.000000,1743.000000,1749.699951,1652.308716,2179378
2018-06-12,1757.000000,1785.000000,1753.000000,1781.000000,1681.866455,4608875
2018-06-13,1816.000000,1831.650024,1798.000000,1824.099976,1722.567505,5370983
2018-06-14,1830.000000,1832.300049,1784.000000,1787.550049,1688.052124,3819998
2018-06-15,1800.000000,1847.099976,1788.599976,1840.050049,1737.629639,9183574
2018-06-18,1867.949951,1867.949951,1822.150024,1829.000000,1727.194702,4674987
2018-06-19,1822.150024,1839.000000,1821.000000,1824.500000,1722.945435,3245034
2018-06-20,1832.000000,1836.300049,1818.599976,1822.449951,1721.009277,3107695
2018-06-21,1832.000000,1832.000000,1817.599976,1819.349976,1718.081665,2910659
2018-06-22,1827.000000,1827.000000,1799.550049,1809.800049,1709.063721,2949458
2018-06-25,1811.900024,1822.349976,1806.000000,1819.250000,1717.987427,2083217
2018-06-26,1823.000000,1861.000000,1821.000000,1852.000000,1748.914673,4679712
2018-06-27,1860.000000,1885.150024,1851.250000,1858.000000,1754.580811,4081208
2018-06-28,1865.000000,1871.000000,1826.300049,1842.699951,1740.132324,4888125
2018-06-29,1844.900024,1867.400024,1842.300049,1847.750000,1744.901001,3506276
2018-07-02,1852.000000,1857.800049,1841.099976,1851.349976,1748.300903,2650290
2018-07-03,1859.949951,1879.900024,1857.050049,1874.050049,1769.737305,3242233
2018-07-04,1879.900024,1879.900024,1857.150024,1866.150024,1762.277222,2700614
2018-07-05,1873.000000,1887.500000,1862.099976,1880.300049,1775.639404,2472571
2018-07-06,1882.849976,1921.000000,1881.650024,1912.949951,1806.472046,3713781
2018-07-09,1924.000000,1924.400024,1876.500000,1883.000000,1778.189209,6151747
2018-07-10,1898.000000,1898.900024,1870.750000,1875.099976,1770.728882,5303302
2018-07-11,1900.000000,1998.000000,1894.150024,1979.900024,1869.695435,22903802
2018-07-12,1984.000000,1990.900024,1960.500000,1971.349976,1861.621338,6921701
2018-07-13,1975.000000,1997.900024,1974.000000,1981.099976,1870.828613,4148185
2018-07-16,1990.000000,1996.000000,1977.449951,1989.199951,1878.477661,2582159
2018-07-17,1989.000000,2009.000000,1981.000000,2002.150024,1894.516602,3315492
2018-07-18,2005.000000,2011.699951,1993.050049,2000.250000,1892.718994,2013869
2018-07-19,2002.099976,2010.449951,1970.000000,1981.400024,1874.882324,1746318
2018-07-20,1984.900024,2000.000000,1984.000000,1996.599976,1889.265137,1934995
2018-07-23,2001.000000,2009.949951,1986.000000,2005.650024,1897.828369,2086201
2018-07-24,2015.000000,2015.000000,1984.150024,1999.000000,1891.536133,2038423
2018-07-25,2001.900024,2002.000000,1968.400024,1981.500000,1874.976807,1535492
2018-07-26,1974.949951,1985.000000,1955.099976,1964.699951,1859.079956,3503036
2018-07-27,1960.849976,1964.650024,1940.300049,1943.750000,1839.256104,2033977
2018-07-30,1943.000000,1954.699951,1931.550049,1944.599976,1840.060425,1579251
2018-07-31,1942.000000,1947.000000,1928.000000,1940.199951,1835.897095,2204803
2018-08-01,1949.949951,1981.550049,1949.800049,1976.500000,1870.245483,2425180
2018-08-02,1980.000000,1985.000000,1945.000000,1948.400024,1843.656250,1509287
2018-08-03,1956.500000,1982.050049,1956.500000,1979.449951,1873.036865,1505131
2018-08-06,1997.000000,1998.949951,1972.250000,1975.550049,1869.346802,1532249
2018-08-07,1978.199951,1979.150024,1960.500000,1967.349976,1861.587402,1353521
2018-08-08,1972.000000,1978.300049,1962.000000,1974.000000,1867.879761,1315062
2018-08-09,1980.000000,1980.800049,1966.000000,1974.349976,1868.211182,2060297
2018-08-10,1980.949951,1996.500000,1972.050049,1993.099976,1885.953247,2784105
2018-08-13,1997.800049,2004.250000,1990.000000,2000.150024,1892.624268,3559575
2018-08-14,1992.000000,2024.599976,1982.400024,2003.550049,1895.841553,3311765
2018-08-16,2000.300049,2020.050049,1995.000000,2008.500000,1900.525269,2152065
2018-08-17,2013.849976,2021.900024,2004.000000,2012.750000,1904.546875,1213731
2018-08-20,2024.000000,2024.000000,2003.699951,2009.949951,1901.897339,1587032
2018-08-21,2010.150024,2024.000000,2004.000000,2017.650024,1909.183350,1376866
2018-08-23,2022.800049,2038.000000,2020.300049,2035.099976,1925.695068,3046791
2018-08-24,2035.099976,2046.000000,2031.000000,2043.000000,1933.170776,1570533
2018-08-27,2043.000000,2059.000000,2035.000000,2050.899902,1940.645752,1532702
2018-08-28,2055.000000,2072.000000,2052.000000,2069.199951,1957.961914,1987983
2018-08-29,2072.500000,2076.600098,2045.599976,2072.000000,1960.611572,1525867
2018-08-30,2068.000000,2085.000000,2065.500000,2082.399902,1970.452637,2408020
2018-08-31,2082.300049,2092.000000,2074.000000,2078.399902,1966.667480,2504554
2018-09-03,2084.800049,2090.000000,2048.399902,2052.899902,1942.538330,1439711
2018-09-04,2059.800049,2104.750000,2056.949951,2098.899902,1986.065430,4420803
2018-09-05,2100.000000,2107.250000,2075.050049,2079.250000,1967.471924,1681106
2018-09-06,2075.000000,2081.500000,2060.300049,2075.300049,1963.734375,2238097
2018-09-07,2079.300049,2084.000000,2065.399902,2079.850098,1968.039917,1312182
2018-09-10,2084.399902,2093.399902,2074.250000,2080.750000,1968.891113,1530539
2018-09-11,2089.000000,2089.000000,2042.199951,2046.250000,1936.245850,3679745
2018-09-12,2052.350098,2068.899902,2040.000000,2043.949951,1934.069580,2307661
2018-09-14,2044.000000,2071.550049,2018.150024,2065.399902,1954.366577,3642038
2018-09-17,2070.000000,2077.800049,2054.550049,2074.149902,1962.645874,1033857
2018-09-18,2073.000000,2078.800049,2057.600098,2070.750000,1959.428833,1456507
2018-09-19,2071.899902,2089.000000,2066.850098,2077.899902,1966.194580,1301268
2018-09-21,2077.000000,2121.000000,2050.149902,2103.149902,1990.087158,4508530
2018-09-24,2115.000000,2210.500000,2098.149902,2198.449951,2080.263672,3032226
2018-09-25,2204.899902,2211.899902,2153.800049,2183.199951,2065.833984,2868778
2018-09-26,2187.000000,2199.000000,2135.100098,2142.149902,2026.990234,1970951
2018-09-27,2141.899902,2209.699951,2135.800049,2188.850098,2071.180176,3311802
2018-09-28,2178.000000,2190.000000,2158.850098,2183.699951,2066.306641,2904371
2018-10-01,2190.899902,2275.949951,2190.350098,2255.550049,2134.294434,3772208
2018-10-03,2250.300049,2255.000000,2155.600098,2162.850098,2046.577759,3902322
2018-10-04,2156.600098,2156.649902,2056.350098,2064.800049,1953.798828,4762419
2018-10-05,2050.000000,2120.000000,2020.900024,2102.649902,1989.613647,3417624
2018-10-08,2102.649902,2122.199951,2048.149902,2077.550049,1965.863281,2010154
2018-10-09,2080.350098,2107.649902,2053.199951,2091.800049,1979.346924,1867130
2018-10-10,2100.000000,2105.949951,2029.000000,2043.599976,1933.738159,2749573
2018-10-11,1985.000000,2013.000000,1941.000000,1979.949951,1873.510010,4700256
2018-10-12,1978.000000,1978.000000,1903.000000,1918.300049,1815.174561,9373289
2018-10-15,1940.000000,1955.550049,1920.000000,1949.500000,1844.696899,2638151
2018-10-16,1958.000000,1971.900024,1935.000000,1962.300049,1856.809204,2815425
2018-10-17,1970.000000,1989.000000,1920.000000,1929.400024,1825.677612,2779207
2018-10-19,1929.000000,1929.000000,1870.050049,1913.199951,1810.348389,3428776
2018-10-22,1914.000000,1916.000000,1886.949951,1903.000000,1800.696899,1778496
2018-10-23,1888.000000,1898.000000,1837.000000,1843.650024,1748.212280,2752811
2018-10-24,1852.050049,1874.000000,1811.099976,1848.500000,1752.811157,2735913
2018-10-25,1844.000000,1876.900024,1825.050049,1853.000000,1757.078125,2507233
2018-10-26,1853.900024,1853.900024,1791.099976,1799.099976,1705.968262,2285970
2018-10-29,1808.699951,1877.949951,1784.349976,1871.000000,1774.145996,2609483
2018-10-30,1867.000000,1909.400024,1845.000000,1894.800049,1796.714233,2404883
2018-10-31,1900.000000,1943.900024,1875.449951,1938.150024,1837.820435,2769190
2018-11-01,1943.650024,1944.349976,1901.300049,1935.750000,1835.544556,2769759
2018-11-02,1934.199951,1954.599976,1905.000000,1913.449951,1814.398926,1818635
2018-11-05,1910.000000,1927.349976,1884.750000,1890.849976,1792.968750,1713366
2018-11-06,1894.000000,1937.500000,1891.000000,1932.699951,1832.652222,1398710
2018-11-07,1940.000000,1949.000000,1937.000000,1942.150024,1841.613281,144530
2018-11-09,1961.000000,1961.949951,1905.000000,1909.199951,1810.368896,2570479
2018-11-12,1908.500000,1946.099976,1908.500000,1914.849976,1815.726440,2552008
2018-11-13,1915.000000,1939.000000,1903.000000,1934.949951,1834.785645,1418432
2018-11-14,1925.000000,1929.900024,1870.000000,1880.650024,1783.296753,2422318
2018-11-15,1864.000000,1899.000000,1857.599976,1872.849976,1775.900757,1829123
2018-11-16,1889.000000,1899.800049,1870.250000,1886.599976,1788.938965,1829729
2018-11-19,1899.000000,1907.349976,1864.300049,1902.449951,1803.968262,1740628
2018-11-20,1902.000000,1902.000000,1874.199951,1878.250000,1781.020996,1190182
2018-11-21,1871.000000,1871.050049,1798.550049,1812.000000,1718.200439,3840461
2018-11-22,1820.000000,1847.599976,1809.949951,1812.550049,1718.721924,3194219
2018-11-26,1819.000000,1860.000000,1784.500000,1846.099976,1750.535400,4333177
2018-11-27,1854.000000,1897.900024,1835.349976,1890.250000,1792.399780,3344839
2018-11-28,1889.000000,1989.000000,1882.500000,1983.900024,1881.202026,5313249
2018-11-29,1997.000000,1997.000000,1942.550049,1960.550049,1859.060791,4035441
2018-11-30,1966.000000,1991.000000,1959.849976,1968.250000,1866.362061,5268901
2018-12-03,1984.000000,1990.000000,1968.300049,1982.400024,1879.779663,1610576
2018-12-04,1983.000000,2019.400024,1971.000000,2010.849976,1906.757080,3270615
2018-12-05,2006.000000,2018.000000,1985.000000,2006.750000,1902.869019,2501539
2018-12-06,1998.000000,2017.000000,1979.599976,1992.699951,1889.546387,2321216
2018-12-07,1985.050049,2003.900024,1973.000000,1995.199951,1891.916992,1680420
2018-12-10,1975.000000,2011.000000,1960.000000,1975.800049,1873.521118,2010786
2018-12-11,1970.000000,2010.000000,1961.000000,2000.000000,1896.468750,2942014
2018-12-12,2001.099976,2022.000000,1984.949951,2016.800049,1912.398926,2219993
2018-12-13,2024.000000,2029.699951,1974.500000,1982.599976,1879.969238,3748429
2018-12-14,1983.000000,1998.949951,1975.250000,1989.750000,1886.749146,2473761
2018-12-17,1999.000000,2004.900024,1985.000000,1994.300049,1891.063599,1227921
2018-12-18,1991.900024,2002.000000,1976.400024,1987.849976,1884.947510,1768742
2018-12-19,1984.800049,1984.800049,1960.050049,1968.449951,1866.551636,2498833
2018-12-20,1953.800049,1974.900024,1946.000000,1954.050049,1852.897095,1940277
2018-12-21,1948.000000,1950.000000,1886.550049,1895.800049,1797.662720,3729956
2018-12-24,1905.800049,1938.900024,1905.000000,1918.500000,1819.187500,1864116
2018-12-26,1921.800049,1921.800049,1870.250000,1889.199951,1791.403931,2446614
2018-12-27,1909.000000,1941.699951,1872.099976,1908.949951,1810.131836,4968201
2018-12-28,1915.000000,1920.000000,1893.000000,1896.050049,1797.899536,2239130
